sentence,command
how are you,0
what is up with you,0
is everything alright,0
are you a robot,0
are you an idiot,0
who is our pm,0
do you think you are intelligent,0
where are you going,0
please dont go,0
i love you,0
i hate you,0
you are amazing,0
india is my country,0
why are you so sad,0
are you happy,0
are you happy now      ,0
we all love you,0
i am gonna hit you,0
are you for real,0
what is your favourite tv serial,0
what is your favourite movie,0
do you like ryan gosling,0
do you love someone,0
are you single,0
are you married,0
how is everyone,0
how are you now,0
do you like this place,0
how old is your father,0
don’t you get bored,0
i am the best,0
you are the best,0
do you know my name,0
what are your views on indian politics,0
what is the name of your mom,0
what is the name of your dad,0
what is your nationality,0
what is your gender,0
do you love us,0
will you always be with me,0
have you watched koi mil gaya,0
have you ever watched koil mil gaya,0
do you know the name of this college,0
who is your favourite singer,0
are you fat,0
you look amazing no matter what you wear,0
india is a great nation,0
are you an indian,0
i love my india,0
what is the worst nightmare you have ever had,0
do you have feelings,0
you look smarter than me,0
you are smart,0
be there with me forever,0
are you on facebook,0
are you on twitter,0
are you on snapchat,0
do you know how to use whatsapp,0
do you use whatsapp,0
what is your mibile number,0
lets catchup someday,0
we are besties,0
we will be together forever,0
what is your favourite hangout place,0
what is your favourite food,0
would you like to have some coffee,0
would you like to have some tea,0
please sit down,0
he loves you,0
i am your biggest fan,0
how is your mom,0
how is your mother,0
how is your dad,0
how is your father,0
how are your parents,0
how are your parents doing,0
how are you doing,0
how are you doing now,0
whats up,0
wanna have some coffee,0
who created you,0
where do you live,0
who is your favourite author,0
do you love reading,0
what do you love the most,0
what do you love the most in this world,0
are you hungry,0
wanna have some food,0
i love burger,0
i love french fries,0
do you want to hangout with me,0
lets hangout someday,0
do you know donald trump,0
do you know narendra modi,0
you look like shahrukh khan,0
can we become friends,0
what is your body made up of,0
what are you made of,0
do you listen to sadhguru,0
we live on earth,0
what is the name of our planet,0
do you know that sun is the main source of light,0
who is your favourite comedian,0
do you watch netflix,0
do you watch amazon prime,0
what is your favourite sport,0
move forward,1
will you please move forward,1
please move forward,1
you move forward,1
set your journey in the forward direction,1
start going in forward direction,1
start going forward,1
you move in the forward direction,1
you move in forward direction,1
move in forward direction,1
go forward,1
go in forward direction,1
step forward,1
step towards forward direction,1
step towards the forward direction,1
go towards forward direction,1
move towards forward direction,1
will you please go forward,1
wll you please step forward,1
will you please go in the forward direction,1
will you please step in forward direction,1
move forward please,1
you move straight in the forward direction,1
you go straight in the forward direction,1
you move straight in forward direction,1
you go straight in forward direction,1
i command you to move forward,1
i command you to step forward,1
i command you to go forward,1
i command you to set your journey towards forward direction,1
i command you to move in the forward direction,1
i command you to move in forward direction,1
i command you to step in the forward direction,1
i command you to step in forward direction,1
i command you to go in forward direction,1
i command you to go in the forward direction,1
i command you to set your journey towards the forward direction,1
i command you to set your journey in forward direction,1
i command you to set your journey in the forward direction,1
move your body forward,1
move your body in the forward direction,1
move your body in forward direction,1
move your body towards the forward direction,1
move your body towards forward direction,1
you move your body forward,1
you move your body in the forward direction,1
you move your body in forward direction,1
you move your body towards the forward direction,1
you move your body towards forward direction,1
set your steps forward,1
you go forward,1
you step forward,1
go in the forward direction,1
you go in the forward direction,1
you go in forward direction,1
you step in the forward direction,1
set your journey in forward direction,1
start going in the forward direction,1
you move towards forward direction,1
you move towards the forward direction,1
go towards the forward direction,1
move towards the forward direction,1
you move in the forward direction,1
i command you to move your body forward,1
i command you to move your body in the forward direction,1
i command you to move your body in forward direction,1
will you move forward,1
will you go forward,1
will you step forward,1
will you move in forward direction,1
will you move in the forward direction,1
will you move your body forward,1
will you move your body in the forward direction,1
will you go in forward direction,1
will you go in the forward direction,1
will you step in forward direction,1
will you step in the forward direction,1
you just go in forward direction,1
you just go forward,1
you just go in the forward direction,1
please go forward,1
please step forward,1
please go in the forward direction,1
please move in the forward direction,1
please go in the forward direction,1
please go in forward direction,1
please move your body in the forward direction,1
please move your body in forward direction,1
you just move your body in forward direction,1
you just move your body in the forward direction,1
you start off in the forward direction,1
you start off in forward direction,1
please start off in the forward direction,1
please start off in forward direction,1
will you start off in the forward direction,1
will you start off in forward direction,1
you just start off in the forward direction,1
you start moving forward,1
you begin your journey by moving forward,1
you begin the journey by moving forward,1
will you please shift in the forward direction,1
you shift in forward direction,1
you shift in the forward direction,1
will you please shift in forward direction,1
will you shift in forward direction,1
will you shift in the forward direction,1
move backward,2
will you please move backward,2
please move backward,2
you move backward,2
